solute,SMILES1,solvent,SMILES2,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea
butylamine,CCCCN,hexane,CCCCCC,-3.62,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,132.847,19.503,71.584,15.978,0.0,11.893,18.504,0.0,1.624,38.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164.243
pyridine,C1=CC=NC=C1,hexane,CCCCCC,-3.81,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,64.653,57.425,43.744,60.8,0.0,14.301,0.0,0.0,11.58,47.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,136.379
aniline,C1=CC=C(C=C1)N,hexane,CCCCCC,-5.43,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,88.183,59.941,42.242,80.39,0.0,10.955,18.043,0.0,2.956,13.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,159.079
nitroethane,CC[N+](=O)[O-],hexane,CCCCCC,-3.19,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,61.013,13.574,41.161,8.445,0.0,4.144,0.0,0.0,1.893,13.064,0.0,0.0,50.979,0.0,0.0,0.0,0.0,30.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,129.71
1-nitrobutane,CCCC[N+](=O)[O-],hexane,CCCCCC,-4.64,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,104.932,18.521,70.692,14.995,0.0,4.145,0.0,0.0,1.408,13.052,0.0,0.0,50.937,0.0,0.0,0.0,0.0,30.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,178.534
nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],hexane,CCCCCC,-6.09,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,59.174,59.766,40.072,80.285,0.0,4.186,0.0,0.0,2.693,5.029,0.0,0.0,48.728,0.0,0.0,0.0,0.0,29.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,171.855
p-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,hexane,CCCCCC,-9.18,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,70.02,66.531,39.114,84.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.406,8.601,0.0,20.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,178.958
fluorobenzene,C1=CC=C(C=C1)F,hexane,CCCCCC,-4.15,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,149.511
chloroform,C(Cl)(Cl)Cl,hexane,CCCCCC,-3.17,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,12.133,2.165,8.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.899,0.0,0.0,0.0,71.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,129.197
chlorobenzene,C1=CC=C(C=C1)Cl,hexane,CCCCCC,-5.14,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,62.984,59.436,42.641,79.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.791,0.0,0.0,0.0,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,161.211
"1,4-dichlorobenzene",C1=CC(=CC=C1Cl)Cl,hexane,CCCCCC,-5.69,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,48.537,53.463,32.87,71.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.616,0.0,0.0,0.0,49.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,179.616
bromoform,C(Br)(Br)Br,hexane,CCCCCC,-4.38,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,11.82,1.803,8.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.238,0.0,0.0,0.0,84.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,144.86
bromobenzene,C1=CC=C(C=C1)Br,hexane,CCCCCC,-5.66,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,62.724,59.089,42.466,79.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.564,0.0,0.0,0.0,29.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.377
p-bromophenol,C1=CC(=CC=C1O)Br,hexane,CCCCCC,-6.96,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,60.239,54.176,32.606,72.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.359,8.617,0.0,4.5,0.0,0.0,0.0,0.0,0.0,44.638,0.0,0.0,0.0,29.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.412
trimethylphosphate,COP(=O)(OC)OC,hexane,CCCCCC,-5.82,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,106.348,32.312,71.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.634,0.0,38.683,0.0,0.0,0.0,0,0.0,195.858
triethylphosphate,CCOP(=O)(OCC)OCC,hexane,CCCCCC,-6.78,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,179.39,41.555,120.898,25.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609,0.0,35.105,0.0,0.0,0.0,0,0.0,272.981
"3,5-dibromo-4-hydroxybenzonitrile",C1=C(C=C(C(=C1Br)O)Br)C#N,hexane,CCCCCC,-9.67,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,31.281,60.569,15.366,72.875,0.0,27.673,0.0,0.0,9.488,6.199,0.0,17.568,15.916,6.123,0.0,5.525,0.0,0.0,0.0,0.0,0.0,84.407,0.0,0.0,0.0,55.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,219.846
nitromethane,C[N+](=O)[O-],hexane,CCCCCC,-2.9,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242
benzamide,C1=CC=C(C=C1)C(=O)N,hexane,CCCCCC,-7.77,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,83.708,65.935,40.019,86.14,0.0,9.751,17.232,0.0,3.729,12.851,4.792,0.0,22.99,0.0,0.0,14.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,182.384
4-methylaniline,CC1=CC=C(C=C1)N,hexane,CCCCCC,-6.18,abs,1.8819,1.3749,0.0,0.0,25.7495,0.0,0.0,0.0,109.535,62.375,56.555,80.397,0.0,11.032,18.05,0.0,2.943,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,182.942
benzene,C1=CC=CC=C1,hexanol,CCCCCCO,-3.68,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,77.548,65.297,52.481,87.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,142.845
toluene,CC1=CC=CC=C1,hexanol,CCCCCCO,-4.27,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethylbenzene,CCC1=CC=CC=C1,hexanol,CCCCCCO,-4.54,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,121.589,68.862,82.09,87.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,190.451
phenol,C1=CC=C(C=C1)O,hexanol,CCCCCCO,-8.76,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,74.866,60.488,42.537,81.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.392,8.575,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,153.746
1-hexanol,CCCCCCO,hexanol,CCCCCCO,-7.05,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,162.885,25.384,101.054,22.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.013,9.054,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,207.282
o-cresol,CC1=CC=CC=C1O,hexanol,CCCCCCO,-8.76,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,96.156,63.514,56.868,82.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.657,8.542,0.0,3.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,175.327
m-cresol,CC1=CC(=CC=C1)O,hexanol,CCCCCCO,-8.42,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,96.138,62.885,56.85,81.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.419,8.543,0.0,4.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.442
p-cresol,CC1=CC=C(C=C1)O,hexanol,CCCCCCO,-9.21,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,96.461,62.796,57.007,81.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.429,8.595,0.0,4.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.686
formaldehyde,C=O,hexanol,CCCCCCO,-3.42,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,26.402,20.853,17.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.717,0.0,0.0,17.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.972
aceticacid,CC(=O)O,hexanol,CCCCCCO,-6.51,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87
ethylamine,CCN,hexanol,CCCCCCO,-4.2,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,89.43,14.194,42.357,8.715,0.0,11.88,18.548,0.0,2.003,38.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,115.505
propylamine,CCCN,hexanol,CCCCCCO,-4.83,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,111.065,16.847,56.953,12.735,0.0,11.893,18.496,0.0,1.615,38.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,139.805
butylamine,CCCCN,hexanol,CCCCCCO,-5.5,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,132.847,19.503,71.584,15.978,0.0,11.893,18.504,0.0,1.624,38.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164.243
p-bromophenol,C1=CC(=CC=C1O)Br,hexanol,CCCCCCO,-10.51,abs,12.5102,1.4178,0.37,0.48,37.15,0.0,0.0,0.2304,60.239,54.176,32.606,72.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.359,8.617,0.0,4.5,0.0,0.0,0.0,0.0,0.0,44.638,0.0,0.0,0.0,29.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.412
n-octane,CCCCCCCC,iodobenzene,C1=CC=C(C=C1)I,-4.72,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
toluene,CC1=CC=CC=C1,iodobenzene,C1=CC=C(C=C1)I,-4.99,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
methanol,CO,iodobenzene,C1=CC=C(C=C1)I,-2.18,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,52.775,11.719,26.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.815,9.816,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,84.309
ethanol,CCO,iodobenzene,C1=CC=C(C=C1)I,-3.18,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
1-propanol,CCCO,iodobenzene,C1=CC=C(C=C1)I,-3.52,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,99.3,17.234,57.569,12.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.022,9.837,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,134.556
1-butanol,CCCCO,iodobenzene,C1=CC=C(C=C1)I,-4.05,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,121.113,19.833,72.23,16.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.032,9.834,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,158.978
1-pentanol,CCCCCO,iodobenzene,C1=CC=C(C=C1)I,-5.02,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,141.224,22.687,86.487,19.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.012,9.06,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,182.924
phenol,C1=CC=C(C=C1)O,iodobenzene,C1=CC=C(C=C1)I,-6.76,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,74.866,60.488,42.537,81.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.392,8.575,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,153.746
1-hexanol,CCCCCCO,iodobenzene,C1=CC=C(C=C1)I,-5.71,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,162.885,25.384,101.054,22.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.013,9.054,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,207.282
o-cresol,CC1=CC=CC=C1O,iodobenzene,C1=CC=C(C=C1)I,-7.14,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,96.156,63.514,56.868,82.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.657,8.542,0.0,3.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,175.327
m-cresol,CC1=CC(=CC=C1)O,iodobenzene,C1=CC=C(C=C1)I,-6.04,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,96.138,62.885,56.85,81.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.419,8.543,0.0,4.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.442
p-cresol,CC1=CC=C(C=C1)O,iodobenzene,C1=CC=C(C=C1)I,-7.01,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,96.461,62.796,57.007,81.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.429,8.595,0.0,4.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.686
1-heptanol,CCCCCCCO,iodobenzene,C1=CC=C(C=C1)I,-6.53,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,184.583,28.065,115.633,26.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.012,9.061,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,231.66
"1,4-dioxane",C1COCCO1,iodobenzene,C1=CC=C(C=C1)I,-4.94,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
2-butanone,CCC(=O)C,iodobenzene,C1=CC=C(C=C1)I,-4.22,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
ethylamine,CCN,iodobenzene,C1=CC=C(C=C1)I,-2.73,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,89.43,14.194,42.357,8.715,0.0,11.88,18.548,0.0,2.003,38.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,115.505
propylamine,CCCN,iodobenzene,C1=CC=C(C=C1)I,-3.54,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,111.065,16.847,56.953,12.735,0.0,11.893,18.496,0.0,1.615,38.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,139.805
butylamine,CCCCN,iodobenzene,C1=CC=C(C=C1)I,-4.19,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,132.847,19.503,71.584,15.978,0.0,11.893,18.504,0.0,1.624,38.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164.243
p-bromophenol,C1=CC(=CC=C1O)Br,iodobenzene,C1=CC=C(C=C1)I,-8.45,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,60.239,54.176,32.606,72.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.359,8.617,0.0,4.5,0.0,0.0,0.0,0.0,0.0,44.638,0.0,0.0,0.0,29.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.412
nitromethane,C[N+](=O)[O-],iodobenzene,C1=CC=C(C=C1)I,-4.1,abs,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,0.0144,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242
butanal,CCCC=O,isobutanol,CC(C)CO,-4.82,abs,16.7766,1.3955,0.37,0.48,32.38,0.0,0.0,0.2304,96.399,27.462,64.833,21.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.047,0.0,0.0,16.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,149.908
aceticacid,CC(=O)O,isobutanol,CC(C)CO,-6.8,abs,16.7766,1.3955,0.37,0.48,32.38,0.0,0.0,0.2304,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87
propanoicacid,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,isobutanol,CC(C)CO,-6.98,abs,16.7766,1.3955,0.37,0.48,32.38,0.0,0.0,0.2304,74.142,20.699,41.287,15.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.789,9.179,0.0,20.114,7.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135.63
butanoicacid,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,isobutanol,CC(C)CO,-7.62,abs,16.7766,1.3955,0.37,0.48,32.38,0.0,0.0,0.2304,96.172,23.176,56.103,18.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.743,9.17,0.0,20.084,7.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,160.091
pentanoicacid,C=CCCC(=O)O,isobutanol,CC(C)CO,-8.06,abs,16.7766,1.3955,0.37,0.48,32.38,0.0,0.0,0.2304,117.904,25.808,70.707,21.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.759,9.17,0.0,20.066,7.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,184.471
hexanoicacid,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,isobutanol,CC(C)CO,-8.77,abs,16.7766,1.3955,0.37,0.48,32.38,0.0,0.0,0.2304,139.578,28.494,85.277,24.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.756,9.169,0.0,20.059,7.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,208.827
